native,name,Wilcoxon_p,Wilcoxon_FDR,Wilcoxon_significant,gProfiler_p,gProfiler_significant,methods_included,methods_significant
GO:0000002,mitochondrial genome maintenance (GO:0000002),0.5329705012576029,0.8092702607166085,False,,,1,0
GO:0000018,regulation of DNA recombination,,,,1.0,False,1,0
GO:0000018,regulation of DNA recombination (GO:0000018),0.5313686046835167,0.8087805447690927,False,,,1,0
GO:0000022,mitotic spindle elongation,,,,1.0,False,1,0
GO:0000027,ribosomal large subunit assembly,,,,1.0,False,1,0
GO:0000027,ribosomal large subunit assembly (GO:0000027),0.6760210465151486,0.8842175467465048,False,,,1,0
GO:0000028,ribosomal small subunit assembly,,,,1.0,False,1,0
GO:0000028,ribosomal small subunit assembly (GO:0000028),0.5341652008162358,0.8097876125883222,False,,,1,0
GO:0000038,very long-chain fatty acid metabolic process (GO:0000038),0.778448590122412,0.9276760077130836,False,,,1,0
GO:0000041,transition metal ion transport,,,,1.0,False,1,0
GO:0000041,transition metal ion transport (GO:0000041),0.0739353924814206,0.3245797959282736,False,,,1,0
GO:0000045,autophagosome assembly (GO:0000045),0.4849210550911865,0.7754239300003671,False,,,1,0
GO:0000050,urea cycle (GO:0000050),0.6940353379640412,0.8883442819212288,False,,,1,0
GO:0000052,citrulline metabolic process,,,,1.0,False,1,0
GO:0000054,ribosomal subunit export from nucleus,,,,1.0,False,1,0
GO:0000054,ribosomal subunit export from nucleus (GO:0000054),0.339177956487055,0.6594064525655561,False,,,1,0
GO:0000055,ribosomal large subunit export from nucleus,,,,1.0,False,1,0
GO:0000056,ribosomal small subunit export from nucleus,,,,1.0,False,1,0
GO:0000070,mitotic sister chromatid segregation,,,,1.0,False,1,0
GO:0000070,mitotic sister chromatid segregation (GO:0000070),0.549245382030072,0.8208522273731322,False,,,1,0
GO:0000075,cell cycle checkpoint signaling,,,,1.0,False,1,0
GO:0000075,cell cycle checkpoint signaling (GO:0000075),0.9754184945536674,0.9935030022595036,False,,,1,0
GO:0000076,DNA replication checkpoint signaling (GO:0000076),0.0937282580073948,0.3620456153283222,False,,,1,0
GO:0000077,DNA damage checkpoint signaling,,,,1.0,False,1,0
GO:0000077,DNA damage checkpoint signaling (GO:0000077),0.2083897244714634,0.5307826745799399,False,,,1,0
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079),0.0458468940632014,0.2553557550392408,False,,,1,0
GO:0000082,G1/S transition of mitotic cell cycle,,,,1.0,False,1,0
GO:0000082,G1/S transition of mitotic cell cycle (GO:0000082),0.5290274957283196,0.8071606159684298,False,,,1,0
GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083),0.6425026135081428,0.8688101294247363,False,,,1,0
GO:0000086,G2/M transition of mitotic cell cycle (GO:0000086),0.2417879023415587,0.571759048367539,False,,,1,0
GO:0000096,sulfur amino acid metabolic process (GO:0000096),0.2891967476395992,0.6182721098392651,False,,,1,0
GO:0000098,sulfur amino acid catabolic process (GO:0000098),0.5292830740309572,0.8072258543624531,False,,,1,0
GO:0000122,negative regulation of transcription by RNA polymerase II,,,,1.0,False,1,0
GO:0000132,establishment of mitotic spindle orientation,,,,1.0,False,1,0
GO:0000132,establishment of mitotic spindle orientation (GO:0000132),0.0300261436357768,0.2105160125887272,False,,,1,0
GO:0000154,rRNA modification (GO:0000154),0.4034765646213984,0.7115888232801162,False,,,1,0
GO:0000165,MAPK cascade,,,,1.0,False,1,0
GO:0000165,MAPK cascade (GO:0000165),0.0826589476375518,0.341903367927191,False,,,1,0
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",4.6205869599395584e-08,1.9473207043389714e-05,True,,,1,1
GO:0000209,protein polyubiquitination,,,,1.0,False,1,0
GO:0000209,protein polyubiquitination (GO:0000209),0.0270056771175114,0.1979183114149525,False,,,1,0
GO:0000212,meiotic spindle organization,,,,1.0,False,1,0
GO:0000226,microtubule cytoskeleton organization,,,,1.0,False,1,0
GO:0000244,spliceosomal tri-snRNP complex assembly (GO:0000244),0.6871601241008419,0.8871208829623082,False,,,1,0
GO:0000245,spliceosomal complex assembly (GO:0000245),0.6879170015903507,0.8872047558763008,False,,,1,0
GO:0000266,mitochondrial fission (GO:0000266),0.6876041522180358,0.8871208829623082,False,,,1,0
GO:0000271,polysaccharide biosynthetic process,,,,1.0,False,1,0
GO:0000272,polysaccharide catabolic process,,,,1.0,False,1,0
GO:0000278,mitotic cell cycle,,,,1.0,False,1,0
GO:0000280,nuclear division,,,,1.0,False,1,0
GO:0000281,mitotic cytokinesis,,,,1.0,False,1,0
GO:0000281,mitotic cytokinesis (GO:0000281),0.3312284690493273,0.653861071747995,False,,,1,0
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",,,,1.0,False,1,0
