Gene,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
ENSMUSG00000026864,Hspa5,31.763559494951,-0.3596537961171474,0.0274512357438215,-13.302948773075366,2.2251639020663653e-40,7.75692136260335e-37,True
ENSMUSG00000007617,Homer1,21.030264499342643,-0.348295928981233,0.0292934353645959,-12.106803747336803,9.720877590922165e-34,1.6943489640977332e-30,True
ENSMUSG00000022602,Arc,26.270943487725734,-0.3384459153938108,0.0330210332066077,-10.496820946355088,8.933829150716369e-26,1.038110947313242e-22,True
ENSMUSG00000036052,Dnajb5,16.85524206255482,-0.3136066056572321,0.032522385761554,-9.91748674253614,3.4944424649912653e-23,3.045406608239888e-20,True
ENSMUSG00000033730,Egr3,16.24982919546913,-0.3167953995342765,0.0331284417783272,-9.825106797716566,8.77809385893666e-23,6.12008703845064e-20,True
ENSMUSG00000038418,Egr1,29.719486231792235,-0.2359255294011484,0.0248243166251812,-9.757657592129554,1.7106049108314997e-22,9.938614531931012e-20,True
ENSMUSG00000034275,Igsf9b,14.418476245817166,-0.3159519039188038,0.0351617646548769,-9.415289069875596,4.717824163461293e-21,2.349476433403724e-18,True
ENSMUSG00000003814,Calr,33.15304405811171,-0.1921968069874948,0.0231426470832013,-8.600907138570873,7.908845906708092e-18,3.446279603848051e-15,True
ENSMUSG00000029657,Hsph1,34.60514652048686,-0.1727066150226528,0.02267674821817,-7.9364313396692125,2.080814709228536e-15,8.059688973745196e-13,True
ENSMUSG00000021071,Trim9,33.82618472771372,-0.1740379349987249,0.0229005033904087,-7.918001539187975,2.413583782672721e-15,8.413753066397105e-13,True
ENSMUSG00000095041,,37.68304263959439,-0.1552564779618473,0.0218516061250262,-7.455389085525183,8.960300624406371e-14,2.839600725152783e-11,True
ENSMUSG00000031167,Rbm3,14.34697436900207,0.2430341050508669,0.0351988871303549,7.316105345127131,2.552712932562572e-13,7.415631069094271e-11,True
ENSMUSG00000002028,Kmt2a,22.91547999427237,-0.1846995873283464,0.027913338595254,-6.930313028978306,4.199104144574916e-12,1.1260059267683195e-09,True
ENSMUSG00000028341,Nr4a3,9.743757907747538,-0.2768526996568548,0.0429993730996021,-6.827290086038108,8.653360870824678e-12,2.154686856835345e-09,True
ENSMUSG00000051335,Gfod1,16.699464433893944,-0.2059315130842464,0.0327631561209867,-6.8094211129164135,9.79922486338455e-12,2.277339858250569e-09,True
ENSMUSG00000059824,Dbp,10.431343236332577,0.2553634451963563,0.0413674346867946,6.565603093521311,5.1822684220638415e-11,1.1290867324571594e-08,True
ENSMUSG00000038738,Shank1,50.20737930903228,-0.1095422084571213,0.0189021231805172,-6.201124428902476,5.606116720043618e-10,1.0857179381151143e-07,True
ENSMUSG00000022791,Tnk2,23.87401708099821,-0.1585746417926939,0.027413494540778,-6.206671882995301,5.411842516317804e-10,1.0857179381151143e-07,True
ENSMUSG00000073867,AA474408,27.05504754267925,0.3196706483588961,0.0581850238087037,5.940260114218206,2.845701871765183e-09,5.221114065775489e-07,True
ENSMUSG00000055805,Fmnl1,12.939619340038124,-0.2005120361452436,0.0373770875306875,-5.817449388688169,5.9752345165071965e-09,1.0414833762272045e-06,True
ENSMUSG00000020571,Pdia6,12.095473690622391,-0.2053324565228023,0.0386913922321256,-5.765610699440382,8.136267554637048e-09,1.35062041406975e-06,True
ENSMUSG00000016346,Kcnq2,49.46095705831323,-0.0988246788065613,0.0190581870327254,-5.547306062471093,2.9010466151291764e-08,4.396977608843612e-06,True
ENSMUSG00000035202,Lars2,68.67912525835838,0.1814301619600691,0.0357443744881983,5.549453090500135,2.8656462645490944e-08,4.396977608843612e-06,True
ENSMUSG00000020484,Xbp1,9.699645305819615,-0.2167634757085047,0.043305551623736,-5.498825338465732,3.8232960417327134e-08,5.553337500616766e-06,True
ENSMUSG00000098973,Mir6236,31.304582591036024,0.2898241467679548,0.0585433369148202,5.440501239926363,5.3130870068642186e-08,7.123623579203332e-06,True
ENSMUSG00000038894,Irs2,10.65003118748972,-0.2050834741153838,0.0413258789465146,-5.4437585198641205,5.21679303691764e-08,7.123623579203332e-06,True
ENSMUSG00000020893,Per1,12.626926316640716,-0.1899961785890676,0.0379077466112232,-5.426785093141819,5.737814463300648e-08,7.408156007061503e-06,True
ENSMUSG00000097767,Miat,53.93158606081238,-0.1039320247936914,0.0210426447252136,-5.404265612700102,6.507445471066663e-08,8.101769611477997e-06,True
