GO_ID,Term,Set_size,AUC,Direction,P-value,FDR,Significant
GO:0002181,cytoplasmic translation (GO:0002181),91,0.7257540794672677,up,9.322108535355711e-14,3.535875767460421e-10,True
GO:0006613,cotranslational protein targeting to membrane (GO:0006613),91,0.7083799683031438,up,6.121169904676592e-12,1.1608798724219155e-08,True
GO:0006614,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),87,0.6994698356129198,up,1.2199648676201907e-10,1.5424422476277943e-07,True
GO:0018105,peptidyl-serine phosphorylation (GO:0018105),152,0.355595528701648,down,7.576266952329461e-10,7.184195137546411e-07,True
GO:0006468,protein phosphorylation (GO:0006468),483,0.4205540477982233,down,1.9050260832412203e-09,1.4451527867467896e-06,True
GO:0045047,protein targeting to ER (GO:0045047),98,0.6723369209138381,up,3.6037632704070827e-09,2.2781790141090106e-06,True
GO:0018209,peptidyl-serine modification (GO:0018209),165,0.37383935593909345,down,2.140406868086636e-08,1.0148204063315762e-05,True
GO:1902532,negative regulation of intracellular signal transduction (GO:1902532),189,0.38193535356904296,down,2.0571200196126085e-08,1.0148204063315762e-05,True
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",110,0.6506711311690202,up,4.620586959939558e-08,1.9473207043389714e-05,True
GO:0006986,response to unfolded protein (GO:0006986),48,0.27568639133509654,down,7.461393712107953e-08,2.8301066350025462e-05,True
GO:0000956,nuclear-transcribed mRNA catabolic process (GO:0000956),166,0.6195783747431032,up,1.0148266998536593e-07,3.4993069750408454e-05,True
GO:1902531,regulation of intracellular signal transduction (GO:1902531),413,0.4256686619704786,down,1.9789114653575976e-07,6.255009323417806e-05,True
GO:0006521,regulation of cellular amino acid metabolic process (GO:0006521),53,0.7007381097851924,up,4.2268317147134137e-07,0.00012332594379929214,True
GO:0006412,translation (GO:0006412),208,0.599373948532269,up,7.435172141985468e-07,0.00020144005667536343,True
GO:0016310,phosphorylation (GO:0016310),388,0.4281619543537462,down,1.0930003368332722e-06,0.00027638335184057344,True
GO:0046777,protein autophosphorylation (GO:0046777),158,0.3902963428546542,down,1.881080031457998e-06,0.00044593353495751164,True
GO:0033238,regulation of cellular amine metabolic process (GO:0033238),50,0.6936108123819212,up,2.1481858531490412e-06,0.0004792981729996655,True
GO:0030334,regulation of cell migration (GO:0030334),387,0.43298340240024585,down,5.593896834411091e-06,0.0011787583718289594,True
GO:0043687,post-translational protein modification (GO:0043687),337,0.5714405302734462,up,6.162428248367532e-06,0.0012302152813714765,True
GO:0051493,regulation of cytoskeleton organization (GO:0051493),108,0.3749339529356707,down,6.948949519282632e-06,0.001317868276331951,True
GO:0051932,"synaptic transmission, GABAergic (GO:0051932)",11,0.8812697289935706,up,1.1885469932210692e-05,0.002146742259660722,True
GO:0046626,regulation of insulin receptor signaling pathway (GO:0046626),44,0.31102303438910917,down,1.4279655443365722e-05,0.0024619424134857356,True
GO:0043043,peptide biosynthetic process (GO:0043043),153,0.6007912036989401,up,1.639251657301151e-05,0.0024870726144573065,True
GO:0030516,regulation of axon extension (GO:0030516),37,0.29530666700171027,down,1.6268752530816098e-05,0.0024870726144573065,True
GO:0071345,cellular response to cytokine stimulus (GO:0071345),427,0.4392273108053459,down,1.5382888833829586e-05,0.0024870726144573065,True
GO:0051056,regulation of small GTPase mediated signal transduction (GO:0051056),140,0.39546678878457986,down,1.9044590452901642e-05,0.002675412281031701,True
GO:0046328,regulation of JNK cascade (GO:0046328),101,0.3768869493341603,down,1.8716325125820718e-05,0.002675412281031701,True
GO:0009065,glutamine family amino acid catabolic process (GO:0009065),14,0.1722967227598336,down,2.1705602961415233e-05,0.0028389431735395855,True
GO:0018107,peptidyl-threonine phosphorylation (GO:0018107),59,0.34012872998634053,down,2.135926945622376e-05,0.0028389431735395855,True
